Informe detallado de palabras clave negativas
Desde siempre
keyword_text,match_type
apartado,BROAD
quindio,BROAD
tayrona,BROAD
pitalito,BROAD
tocaima,BROAD
sabanalarga,BROAD
piedecuesta,BROAD
villamaría,BROAD
anapoima,BROAD
cajica,BROAD
mosquera,BROAD
girón,BROAD
planeta rica,BROAD
tocancipa,BROAD
santa rosa de cabal,PHRASE
girardot,BROAD
san gil,BROAD
rionegro,BROAD
barrancabermeja,BROAD
soacha,BROAD
madrid,BROAD
salento,BROAD
san andres,BROAD
popayan,BROAD
tunja,BROAD
pasto,BROAD
caucasia,BROAD
duitama,BROAD
huila,BROAD
itagui,BROAD
malambo,BROAD
florencia,BROAD
buenaventura,BROAD
guajira,BROAD
acacias,BROAD
riohacha,BROAD
arauca,BROAD
cota,BROAD
la dorada,BROAD
flandes,BROAD
chiquinquira,BROAD
mocoa,BROAD
quibdo,BROAD
maicao,BROAD
yopal,BROAD
facatativa,BROAD
dosquebradas,BROAD
funza,BROAD
turbaco,BROAD
villamaria,BROAD
aguazul,BROAD
chía,BROAD
cundinamarca,BROAD
tolima,BROAD
espinal,BROAD
la calera,BROAD
tumaco,BROAD
zipaquira,BROAD
envigado,BROAD
turbo,BROAD
bello,BROAD
pamplona,BROAD
chia,BROAD
villa de leyva,BROAD
leticia,BROAD
cienaga,BROAD
garzon,BROAD
sincelejo,BROAD
sabaneta,BROAD
melgar,BROAD
sogamoso,BROAD
ipiales,BROAD
fusagasuga,BROAD
paipa,BROAD
