Keyword Stats 2026-08-07 at 12_58_04
1 de julio de 2025 - 30 de junio de 2026
Keyword	Currency	Avg. monthly searches	Cambio en tres meses	Cambio interanual	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026	Searches: Apr 2026	Searches: May 2026	Searches: Jun 2026
como llegar a guatape	COP	210	0%	0%	Baja	7	"328,48"	"1479,96"						210	210	170	210	210	210	390	170	260	210	210	210
como llegar a salento	COP	210	0%	0%	Baja	4	"470,81"	"2309,56"						210	260	170	210	170	210	390	170	260	210	140	210
como llegar a villa de leyva	COP	390	22%	-19%	Baja	9	"85,80"	"2027,60"						390	480	390	390	390	480	480	260	320	320	320	390
como llegar al tayrona	COP	90	-43%	-71%	Baja	24	"231,93"	"1705,14"						140	90	70	70	90	90	140	50	90	70	70	40
san gil que hacer	COP	70	125%	29%	Media	40	"163,38"	"1829,67"						50	50	50	50	70	90	140	40	90	40	50	90
bogota medellin en carro	COP	390	0%	-33%	Baja	0								480	390	320	390	390	590	590	210	320	320	260	320
bogota cartagena en carro	COP	140	-18%	-36%	Baja	1								140	140	140	170	210	210	170	140	110	110	90	90
cuanto se demora bogota medellin	COP	10	-100%	-100%	Desconocida									10	10	10	10	10	10	10	10	10	10	0	0
kit de carretera obligatorio colombia	COP	10	0%	0%	Media	44								10	10	10	10	10	10	10	10	10	10	10	10
que hacer en san gil	COP	720	0%	-52%	Media	47	"79,82"	"1093,74"						880	720	720	720	590	880	1300	390	590	480	390	480
como ir de medellin a guatape	COP	110	-22%	-36%	Media	65	"301,53"	"2319,20"						140	140	110	110	110	140	170	110	110	90	50	70
como llegar de medellin a guatape	COP	70	-29%	-44%	Media	37	"89,87"	"1500,64"						90	90	70	50	70	70	110	40	70	70	40	50
actividades para hacer en san gil	COP	20	50%	0%	Media	52								20	20	20	20	20	20	40	20	30	20	20	30
actividades para realizar en san gil	COP	10	0%	0%	Alta	86								10	10	10	10	10	10	10	10	10	10	0	10
bogota a medellin carro	COP	30	0%	-67%	Baja	0								20	30	30	20	50	110	50	20	40	10	20	10
bogota a medellin en carro	COP	390	0%	-33%	Baja	0								480	390	320	390	390	590	590	210	320	320	260	320
bogota cartagena en carro tiempo	COP	10	0%	0%	Baja	0								10	10	10	10	10	10	10	10	10	10	10	10
bogota cartagena tiempo en carro	COP	10	0%	0%	Baja	0								10	10	10	10	10	10	10	10	10	10	10	10
bogota medellin carro	COP	70	0%	-55%	Baja	1								70	70	70	90	90	90	110	40	50	50	40	50
bogota medellin en carro peajes	COP	10	0%	0%	Baja	0								30	10	10	10	10	20	20	10	10	10	10	10
bogota medellin tiempo en carro	COP	20	-50%	0%	Baja	0								10	10	10	30	50	40	40	20	20	20	10	10
bogotá a cartagena en carro	COP	20	0%	-50%	Baja	6								10	10	10	20	50	40	30	30	20	10	10	10
bogotá a medellín en carro	COP	30	0%	0%	Baja	0								30	40	20	30	40	70	50	20	30	30	30	30
bogotá cartagena carro	COP	10	0%	∞	Baja	0								10	10	10	10	10	10	10	0	10	10	0	10
bogotá cartagena en carro	COP	10	100%	100%	Baja	0								10	10	10	10	10	20	20	20	20	10	20	20
bogotá cartagena por tierra en carro	COP	10	0%	-50%	Baja	0								10	10	20	10	20	20	10	20	10	10	10	10
cascada la periquera villa de leyva como llegar	COP	10	0%	0%	Baja	0								10	10	10	10	10	10	10	10	10	10	10	10
como ir a guatape	COP	50	-50%	-60%	Media	47	"487,91"	"2780,98"						50	70	40	30	50	50	70	40	40	40	40	20
como ir a guatape en bus	COP	10	0%	-50%	Media	36								10	20	10	10	20	10	20	10	10	10	10	10
como ir a guatapé	COP	10	0%	0%	Alta	71	"67,09"	"2168,70"						10	10	10	10	10	10	10	10	10	10	10	10
como ir a guatapé desde medellín	COP	210	0%	-46%	Media	55	"174,11"	"2280,13"						260	260	210	170	170	210	320	170	170	140	110	140
como ir a salento	COP	10	-50%	0%	Baja	12								10	10	10	20	10	10	30	10	10	20	10	10
como ir de bogota a villa de leyva	COP	140	27%	-33%	Baja	33	"72,28"	"1959,20"						170	140	140	110	140	140	140	110	140	110	90	140
como ir de medellín a guatapé	COP	20	-50%	-50%	Media	55	"406,89"	"1040,68"						20	30	20	10	30	40	40	20	20	20	10	10
como llegar a guatape antioquia	COP	10	0%	0%	Baja	0								10	10	10	10	10	0	10	10	0	10	10	10
como llegar a guatape en bus	COP	10	-50%	0%	Baja	12								20	10	10	20	10	20	20	10	10	20	10	10
como llegar a guatape en metro	COP	10	∞	0%	Baja	14								10	0	10	10	10	10	10	10	10	0	10	10
como llegar a guatapé	COP	90	0%	57%	Baja	9	"365,65"	"967,72"						70	90	70	110	70	90	140	90	140	110	90	110
como llegar a guatapé desde medellín 2022	COP	10	0%	-100%	Desconocida									0	0	0	0	0	0	0	0	0	0	10	0
como llegar a los pozos azules villa de leyva	COP	10	0%	0%	Baja	2								10	10	10	10	10	10	10	10	10	10	10	10
como llegar a pozos azules desde villa de leyva	COP	30	0%	-33%	Baja	1								30	20	20	20	30	50	50	10	20	20	20	20
como llegar a pozos azules villa de leyva	COP	10	0%	0%	Baja	0								10	10	10	10	10	10	10	10	10	10	10	10
como llegar a raquira desde villa de leyva	COP	10	0%	-50%	Baja	9								10	10	10	10	10	10	20	10	10	10	10	10
como llegar a salento desde armenia	COP	70	40%	0%	Baja	8	"86,07"	"2696,86"						70	70	50	70	70	70	110	50	70	50	30	70
como llegar a salento quindio	COP	10	0%	0%	Baja	8								10	10	10	10	10	10	10	10	10	10	10	10
como llegar a villa de leyva desde bogotá en carro	COP	20	0%	-75%	Baja	7								30	30	20	20	20	30	20	10	10	10	10	10
como llegar a villa de leyva en bus	COP	20	100%	-33%	Baja	19	"35,46"	"99,78"						20	20	20	20	20	20	30	20	20	10	10	20
como llegar al peñol de guatape	COP	10	0%	0%	Baja	14								10	10	10	10	10	10	10	10	10	10	10	10
como llegar de bogota a villa de leyva	COP	50	-43%	-20%	Baja	14	"24,55"	"291,80"						50	50	50	50	50	50	70	50	110	70	50	40
como llegar desde bogota a villa de leyva	COP	10	0%	0%	Baja	18								10	10	10	10	10	10	10	10	10	10	10	10
como llegar guatape	COP	10	100%	100%	Baja	2								10	10	10	10	10	20	10	10	10	10	10	20
como llegar pozos azules villa de leyva	COP	20	0%	-67%	Baja	0								40	30	20	20	20	20	20	10	10	10	10	10
como llego a villa de leyva	COP	390	22%	-19%	Baja	9	"85,80"	"2027,60"						390	480	390	390	390	480	480	260	320	320	320	390
como se llega a guatape	COP	10	0%	0%	Baja	27	"375,43"	"6430,49"						10	10	10	10	10	10	10	10	10	10	10	10
como se llega a villa de leyva	COP	20	50%	200%	Baja	31	"498,51"	"1963,65"						20	20	20	10	10	20	20	10	10	20	20	30
cosas para hacer en san gil	COP	50	40%	-22%	Media	41	"144,26"	"961,46"						50	70	30	70	50	50	110	40	70	50	50	70
cosas por hacer en san gil	COP	20	0%	-50%	Media	59	"75,05"	"699,08"						20	20	10	20	10	20	40	10	20	10	10	10
cosas que hacer en san gil	COP	10	0%	100%	Baja	26	"150,66"	"3472,16"						20	10	10	10	10	10	20	10	20	20	10	20
costos bogota medellin en carro	COP	10	0%	0%	Baja	0								0	10	10	10	0	10	10	10	10	10	10	10
cuanto se demora de bogota a medellin	COP	70	0%	-44%	Baja	2								70	50	50	50	40	70	90	50	70	50	70	50
cuanto se demora de bogota a medellin en avion	COP	20	0%	-75%	Baja	0								20	20	20	30	20	10	20	10	10	10	10	10
cuanto se demora de medellin a bogota en avion	COP	30	33%	-43%	Baja	1								40	20	30	40	30	30	50	20	30	30	20	40
cuanto se demora el vuelo de bogota a medellin	COP	30	0%	0%	Baja	0								30	20	20	30	20	30	50	30	40	30	30	30
cuanto se demora en avion de bogota a medellin	COP	70	40%	-22%	Baja	0								70	70	50	70	50	70	70	50	50	50	50	70
cuanto se demora un avion de medellin a bogota	COP	40	33%	0%	Baja	2								50	30	40	40	30	40	30	30	40	30	30	40
cuanto se demora un viaje de medellin a bogota	COP	20	-33%	0%	Baja	0								20	20	10	20	20	20	30	20	20	30	20	20
cuanto se demora un vuelo de bogota a medellin	COP	140	-35%	-35%	Baja	2								140	140	140	140	170	170	210	140	140	170	110	110
cuanto se demora un vuelo de medellin a bogota	COP	90	-22%	-22%	Baja	0								90	70	90	90	90	90	110	70	90	90	110	70
cuánto se demora de bogotá a medellín	COP	30	0%	-50%	Baja	0								30	20	30	40	50	40	40	20	30	20	20	20
cuánto se demora un vuelo de bogotá a medellín	COP	50	0%	0%	Baja	1								50	70	50	50	50	70	70	40	50	50	50	50
de bogota a cartagena en carro	COP	10	0%	-67%	Baja	0								20	10	10	10	10	10	10	10	10	10	10	10
de bogota a medellin en carro	COP	30	0%	0%	Baja	0								30	20	30	30	30	40	50	10	30	20	20	20
de bogotá a cartagena en carro	COP	10	0%	0%	Baja	0								10	10	10	10	10	20	20	10	10	10	10	10
distancia bogotá medellín en carro	COP	10	-100%	-100%	Desconocida									10	10	10	10	10	10	0	0	10	10	10	0
el peñol de guatape como llegar	COP	10	0%	0%	Baja	0								10	10	0	10	10	0	0	10	0	10	10	10
guatape antioquia como llegar	COP	10	0%	-50%	Baja	0								20	20	10	10	10	10	10	10	10	10	10	10
guatape el peñol como llegar	COP	10	0%	0%	Baja	7								10	10	0	10	10	10	10	10	10	10	10	10
