Informe de términos de búsqueda
12 de junio de 2026 - 6 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Añadido/excluido,Grupo de anuncios,Palabra clave,Clics,Impr.,Conversiones,Código de moneda,Coste/conv.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.)
alquiler de coches colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
cuanto vale alquilar un carro en cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,2,7,"0,00",COP,"0,00","28,57%","93,50","187,00","14,29%","57,14%"
rentar carro medellín,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros economicos bogota,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,3,9,"0,00",COP,"0,00","33,33%","586,67","1760,00","12,50%","87,50%"
alquiler de carro en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,6,27,"0,00",COP,"0,00","22,22%","1572,50","9435,00","4,17%","50,00%"
alquiler de carros baratos en medellin,Concordancia de frase,Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","1830,00","1830,00","100,00%","100,00%"
alquiler de carros aeropuerto bogota,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,1,3,"0,00",COP,"0,00","33,33%","1372,00","1372,00","33,33%","66,67%"
alquiler de vehículo en santa marta,Concordancia exacta (ligera variación),Ninguno,Santa marta,alquiler de carros santa marta,1,2,"0,00",COP,"0,00","50,00%","550,00","550,00","0,00%","50,00%"
alquiler de carro en villavicencio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,7,17,"0,00",COP,"0,00","41,18%","790,71","5535,00","50,00%","100,00%"
alquiler de camionetas en villavicencio,Concordancia de frase (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,1,5,"0,00",COP,"0,00","20,00%","412,00","412,00","0,00%","80,00%"
alquiler camioneta barranquilla,Concordancia de frase (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","50,00%"
renta car colombia,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,2,2,"0,00",COP,"0,00","100,00%","611,00","1222,00","100,00%","100,00%"
rent car,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
donde rentar carros en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,3,"0,00",COP,"0,00","66,67%","676,00","1352,00","50,00%","50,00%"
renta vehiculos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de autos en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,9,19,"2,00",COP,"3638,50","47,37%","808,56","7277,00","21,05%","73,68%"
alquiler de carros en bogota por dias,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros baratos cerca de mi,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos en villavicencio meta,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros economicos en barranquilla,Concordancia de frase,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","671,00","671,00","0,00%","100,00%"
renta car en medellin colombia,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler carros barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,42,103,"3,02",COP,"16078,08","40,78%","1154,29","48480,00","26,09%","83,70%"
alquiler de carros manizales,Concordancia exacta,Añadido,Manizales,alquiler de carros manizales,136,323,"1,81",COP,"36603,93","42,11%","487,79","66339,50","50,38%","95,45%"
valor de alquiler de auto por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
arrendamiento de carros,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","288,00","288,00","0,00%","100,00%"
alquiler carros armenia,Concordancia de frase (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,1,6,"0,00",COP,"0,00","16,67%","353,00","353,00","0,00%","83,33%"
